_id,name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id,ResearchGate name,ResearchGate url name/id,name_similarity,ResearchGate url type
{'$oid': '61934984ae4bf4c08678868c'},Παναγιώτα Μορφούλη,Panagiota Morfouli,school of Engineering and Management,Institut Polytechnique de Grenoble,Καθηγητής,5054,Unknown,Unknown,Panagiota Morfouli,Panagiota-Morfouli-2131622649,1,scientific-contributions
{'$oid': '61934c7dae4bf4c08678869e'},Στυλιανός Μπακαμίδης,Stylianos Bakamidis,Ινστιτούτο Επεξεργασίας του Λόγου,Ε.Κ. Αθηνά,Διευθυντής Ερευνών,17848,Unknown,Unknown,Stelios Bakamidis,Stelios-Bakamidis-70993941,0.0555555555555556,scientific-contributions
{'$oid': '61934f98ae4bf4c0867886ba'},Νικόλαος Μπουρμπάκης,Nikolaos Bourmpakis,Informatics and Technology,Wright State University,Καθηγητής,2334,Unknown,Unknown,Nikolaos G Bourbakis,Nikolaos-G-Bourbakis-35011032,0.666666666666667,scientific-contributions
{'$oid': '61935bfeae4bf4c0867886f2'},Θεμιστοκλής Παναγιωτόπουλος,Themistoklis Panagiotopoulos,Πληροφορικής,unipi,Καθηγητής,2296,Unknown,Unknown,Themis Panayiotopoulos,Themis-Panayiotopoulos-35530973,,scientific-contributions
{'$oid': '61935f49ae4bf4c086788702'},Ιωάννης Παπανάνος,Ioannis Papananos,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,ntua,Καθηγητής,17725,Unknown,Unknown,Yannis Papananos,Yannis-Papananos-35681746,0.909090909090909,scientific-contributions
{'$oid': '61935fbbae4bf4c08678870a'},Αθανάσιος Παπίστας,Athanasios Papistas,Μαθηματικών,auth,Καθηγητής,19312,Unknown,Unknown,Athanassios Papistas,Athanassios-Papistas-2,,profile
{'$oid': '619360f6ae4bf4c086788716'},Γεώργιος Παυλίδης,Georgios Pavlidis,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,1164,Unknown,Unknown,George Pavlidis,George-Pavlidis-2159400883,0.875,scientific-contributions
{'$oid': '6193a4efb47f86925d9631ab'},Ανδριάνα Πρέντζα,Andriana Prentza,Ψηφιακών Συστημάτων,unipi,Καθηγητής,6222,Unknown,Unknown,Andriana Prentza,Andriana-Prentza-2119906780,1,scientific-contributions
{'$oid': '6193a504b47f86925d9631af'},Γεώργιος Ραχώνης,Georgios Rachonis,Μαθηματικών,auth,Καθηγητής,19520,Unknown,Unknown,George Rahonis,George-Rahonis,,profile
{'$oid': '6193a684b47f86925d9631bb'},Εμμανουήλ Ρουμελιώτης,Emmanouil Roumeliotis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,9385,Unknown,Unknown,Emmanouel Roumeliotes,Emmanouel-Roumeliotes-17699705,0.904761904761905,scientific-contributions
{'$oid': '6193aad1b47f86925d9631df'},Μάκης (Γεράσιμος) Σολωμός,Makis (Gerasimos) Solomos,Département de Musique,"Université Paris 8, EMDCM, France",Καθηγητής,6076,Unknown,Unknown,Unknown,Unknown,,
{'$oid': '6193b07eb47f86925d9631f5'},Αλεξανδρος  Σταυδάς,Alexandros  Stavdas,Πληροφορικής και Τηλεπικοινωνιών,uop,Καθηγητής,8110,Unknown,Unknown,Alexandros Stavdas,Alexandros-Stavdas-2,,profile
{'$oid': '6193b56eb47f86925d963209'},Ευστάθιος  Συκάς,Efstathios  Sykas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,19447,Unknown,Unknown,Efstathios D. Sykas,Efstathios-Sykas,,profile
{'$oid': '6193b636b47f86925d963213'},Μιχαήλ Σφακιανάκης,Michail Sfakianakis,Οργάνωσης και Διοίκησης Επιχειρήσεων,unipi,Καθηγητής,8003,Unknown,Unknown,Michael Sfakianakis,Michael-Sfakianakis,,profile
{'$oid': '6193d6e3b47f86925d96326b'},Βάσος Χατζηλάκος,Vasos Chatzilakos,Επιστήμης Υπολογιστών,University of Toronto,Καθηγητής,9285,Unknown,Unknown,Vassos Hadzilacos,Vassos-Hadzilacos-3217201,,scientific-contributions
{'$oid': '6193d7f0b47f86925d96326f'},Αλκιβιάδης Χατζόπουλος ,Alkiviadis Chatzopoulos ,ΗΜΜΥ,auth,Καθηγητής,18940,Unknown,Unknown,Alkis A. Hatzopoulos,Alkis-Hatzopoulos,,profile
{'$oid': '6193d967b47f86925d963275'},Κωνσταντίνος Χρυσαφίνος,Konstantinos Chrysafinos,Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών,ntua,Αναπληρωτής Καθηγητής,23527,Unknown,Unknown,Konstantinos Chrysafinos,Konstantinos-Chrysafinos-2148196013,1,scientific-contributions
{'$oid': '6193d981b47f86925d963277'},Βασίλειος Χρυσικόπουλος,Vasileios Chrysikopoulos,Πληροφορικής,ionio,Καθηγητής,4753,Unknown,Unknown,Vassileios Chrissikopoulos,Vassileios-Chrissikopoulos,,profile
