name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id
Katia Sycara,Katia Sycara,Computer Science,Carnegie Mellon University,Καθηγητής,9864,Katia Sycara,VWv6a9kAAAAJ
 John Tsotsos, John Tsotsos,Electrical Engineering and Computer Science,York University,Καθηγητής,9059,John K. Tsotsos,Ic6ZXhUAAAAJ
Nicolas Vayatis,Nicolas Vayatis,"
Mathematics Research Teaching ",ENS Cachan / CMLA,Καθηγητής,2897,Nicolas Vayatis,IsPkE1wAAAAJ&hl=fr
Charalambos Vrasidas,Charalambos Vrasidas,School of Education,"Cardet - University of Nicosia, Cyprus",Καθηγητής,3266,Charalambos Vrasidas,bcAshfkAAAAJ
George Zouridakis,George Zouridakis,Engineering Technology,University of Houston,Καθηγητής,10132,George Zouridakis,1tQZV14AAAAJ
Νικόλαος Αβούρης,Nikolaos Avouris,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,17657,Nikolaos Avouris,FwuKA4UAAAAJ
Ηρακλής  Αβραμόπουλος,Iraklis  Avramopoulos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,17892,Hercules Avramopoulos,hf2txgMAAAAJ
Χαρούλα Αγγέλη,Charoula Angeli, Education,ucy,Καθηγητής,1884,Charoula Angeli,3eOMkcUAAAAJ
Παντελής Αγγελίδης,Pantelis Angelidis,Μηχανικών Πληροφορικής & Τηλεπικοινωνιών,uowm,Καθηγητής,19621,Pantelis Angelidis,a_6ka4oAAAAJ
Κωνσταντινος Μαριος Αγγελοπουλος,Konstantinos Marios Angelopoulos,"
 Computing & Informatics",Bournemouth University,Επίκουρος Καθηγητής (Μόνιμος),20799,Constantinos Marios Angelopoulos,iQr8D8UAAAAJ
Κων/νος Αϊδίνης ,Kon/nos Aidinis ,Φυσικής,uoa,Αναπληρωτής Καθηγητής,132,Ioannis Kassaras,NAs-snQAAAAJ
Παναγιώτης Αλεβίζος,Panagiotis Alevizos,Μαθηματικών,upatras,Αναπληρωτής Καθηγητής,23939,Panagiotis D. Alevizos,i6uX5zUAAAAJ
Γεώργιος Αλεξίου ,Georgios Alexiou ,Μηχ. Η/Υ & Πληροφορικής ,Παν/μιο Πατρών,Καθηγητής,17242,GEORGE ALEXIOU,rwjwvTUAAAAJ
Αντώνιος Αλετράς,Antonios Aletras,Ιατρικής,auth,Καθηγητής,19178,Anthony H. Aletras,1O0vvE0AAAAJ
Ιωάννης Αναγνωστόπουλος,Ioannis Anagnostopoulos,Πληροφορικής με Εφαρμογές στη Βιοϊατρική ,uth,Καθηγητής,13705,Ioannis Anagnostopoulos,9UBJ4QEAAAAJ
Μιλτιάδης  Αναγνώστου,Miltiadis  Anagnostou,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,19482,Miltiades E. Anagnostou,pvThzK0AAAAJ
Βασίλειος Αναστασόπουλος,Vasileios Anastasopoulos,Φυσικής,upatras,Καθηγητής,17596,Nikolaos Anastasopoulos,qMDzbfUAAAAJ
Ιωάννης Ανδρεάδης ,Ioannis Andreadis ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,duth,Καθηγητής,6006,Ioannis Andreadis,3wMEVMMAAAAJ
Ανδρέας Ανδρέου,Andreas Andreou,Τμήμα Ηλεκτρολόγων Μηχανικών και Τεχνολογιών Πληροφορικής,cut, Καθηγητής,9921,Andreas Andreou,CqlJG_IAAAAJ
Μαργκερίτα Αντόνα,Margkerita Antona,Ινστιτούτο Πληροφορικής,forth,Κύριος Ερευνητής,19203,Margherita Antona,BSrpFJgAAAAJ
Ιωάννης Αντωνίου,Ioannis Antoniou,Μαθηματικών,auth,Καθηγητής,7651,Ioannis E. Antoniou,UMPx3MAAAAAJ
Χρήστος Αντωνόπουλος,Christos Antonopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,auth,Καθηγητής,18399,Christos D. Antonopoulos,lVnr8WYAAAAJ
Θεόδωρος  Αποστολόπουλος,Theodoros  Apostolopoulos,Πληροφορικής,aueb,Καθηγητής,19284,Theodore Apostolopoulos,WTg8mXoAAAAJ
Αντώνιος Αργυρός ,Antonios Argyros ,Επιστήμης Υπολογιστών,uoc,Καθηγητής,18605,Antonis Argyros,9OieklkAAAAJ
Δημήτριος Αχλιόπτας,Dimitrios Achlioptas,Πληροφορικής και Επικοινωνιών,uoa,Καθηγητής,19967,Dimitris Achlioptas,GBQ6w8IAAAAJ
Μιχαήλ Βαζιργιάννης,Michail Vazirgiannis,Πληροφορικής,aueb,Καθηγητής,3631,Michail Chatzianastasis,e0HbE2YAAAAJ
Εμμανουήλ  Βαρβαρίγος,Emmanouil  Varvarigos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Καθηγητής,19579,Emmanouel (Manos) Varvarigos,vqtH65oAAAAJ
Θεοδώρα Βαρβαρίγου,Theodora Varvarigou,Σχολή Ηλεκτρολόγων Μηχ. & Μηχ . Υπολογιστών,ntua,Καθηγητής,1699,Theodora Varvarigou,kueSeb4AAAAJ
Ηρακλής Βαρλάμης,Iraklis Varlamis,Πληροφορικής &Τηλεματικής,hua,Αναπληρωτής Καθηγητής,21827,Iraklis Varlamis,SUyTkTAAAAAJ
Δημήτριος Βάρσος,Dimitrios Varsos,Μαθηματικών,uoa,Καθηγητής,4679,Unknown,Unknown
Μιχαήλ Βασιλακόπουλος,Michail Vasilakopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,uth,Αναπληρωτής Καθηγητής,19189,Michael Vassilakopoulos,A1mijQ8AAAAJ
Γεώργιος Βασιλακόπουλος,Georgios Vasilakopoulos,Ψηφιακών Συστημάτων,unipi,Καθηγητής,6676,Paris Vasilakopoulos,XI5HOegAAAAJ
Παναγιώτης Βασιλειάδης,Panagiotis Vasileiadis,Μηχ Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Καθηγητής,10082,Panagiotis Ilia,gFjRToUAAAAJ
Βασίλειος Βασσάλος,Vasileios Vassalos,Πληροφορικής,aueb,Καθηγητής,19804,Vasilis Vassalos,oaM-d7QAAAAJ
Ανδρέας Βενέρης,Andreas Veneris,ECE ,"University of Toronto, Canada",Καθηγητής,7637,Andreas Veneris,ItQhxCkAAAAJ
Ιάκωβος  Βενιέρης,Iakovos  Venieris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,18531,Iakovos S. Venieris,Q0ylKvEAAAAJ
Δημητριος  Βέργαδος,Dimitrios  Vergados,Πληροφορικής ,unipi, Καθηγητής,4514,Dimitrios D. Vergados,bP0fRIEAAAAJ
Χαρίδημος  Βέργος,Charidimos  Vergos,Μηχ. Η/Υ & Πληροφορικής ,upatras,Καθηγητής,18796,Haridimos T. Vergos,dYOrcUIAAAAJ
Βασίλειος Βερύκιος,Vasileios Verykios,θετικών Επιστημων και Τεχνολογίας,eap,Καθηγητής,17293,Vassilios Verykios,Md2HV1cAAAAJ
Μαρία  Βίρβου,Maria  Virvou,Πληροφορικής,unipi,Καθηγητής,8347,Maria Virvou,Ce6s_FoAAAAJ
Θεόδωρος Βλάχος,Theodoros Vlachos,Τεχνών Ήχου και Εικόνας,ionio,Αναπληρωτής Καθηγητής,988,Theodoros Vlachos,IZwwCmwAAAAJ
Κυριάκος Βλάχος,Kyriakos Vlachos,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,upatras,Αναπληρωτής Καθηγητής,17723,Kyriakos Vlachos,dwzqmcQAAAAJ
Σπυρίδων Βοσινάκης,Spyridon Vosinakis,Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων,aegean,Αναπληρωτής Καθηγητής,4839,Spyros Vosinakis,KjA46lQAAAAJ
Δημοσθενης Βουγιουκας ,Dimosthenis Vougioukas ,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,aegean,Καθηγητής,19519,Unknown,Unknown
Γεώργιος Βούρος,Georgios Vouros,Ψηφιακών Συστημάτων,unipi,Καθηγητής,9884,George Vouros,PBX9aQUAAAAJ
Μιχαήλ Βραχάτης,Michail Vrachatis,Μαθηματικών,upatras,Καθηγητής,17224,Michael N. Vrahatis   (Greek: Μιχαήλ Ν. Βραχάτης),3mQhqcsAAAAJ
Δαμιανός Γαβαλάς,Damianos Gavalas,Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων,aegean,Καθηγητής,6964,Damianos Gavalas,8kYj-SsAAAAJ
Ευστράτιος Γαλλόπουλος,Efstratios Gallopoulos,Μηχανικών Η/Υ & Πληροφορικής,upatras,Καθηγητής,1041,Efstratios Gallopoulos,WhMzaJwAAAAJ
Θεόδουλος Γαρεφαλάκης,Theodoulos Garefalakis,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,uoc,Καθηγητής,19418,Theo Garefalakis,O5CqgoUAAAAJ
Ιωάννης Γαροφαλάκης,Ioannis Garofalakis,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,upatras,Καθηγητής,9360,John Garofalakis,Lu6f_-wAAAAJ
Μίνως Γαροφαλάκης,Minos Garofalakis,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,tuc,Καθηγητής,3674,Minos Garofalakis,WemX9rAAAAAJ
Αντώνιος Γαστεράτος,Antonios Gasteratos,Μηχανικών Παραγωγής και  Διοίκησης,duth,Καθηγητής,1794,Antonios Gasteratos,ZzxSO8QAAAAJ
Τασούλα Γεωργάκη,Tasoula Georgaki,Μουσικών Σπουδών,uoa, Καθηγητής,18329,anastasia Georgaki,1Q9pOAIAAAAJ
Γιώργος Γεωργακόπουλος,Giorgos Georgakopoulos,Επιστήμης Υπολογιστών,uoc,Αναπληρωτής Καθηγητής,7075,George Georgakopoulos,AkCowUsAAAAJ
Λεωνίδας Γεωργιάδης,Leonidas Georgiadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών ,auth,Καθηγητής,6050,Leonidas Georgiadis,GjFfiVwAAAAJ
Νικόλαος Γεωργουλάς ,Nikolaos Georgoulas ,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,duth,Καθηγητής,2974,Nikolaos Georgoulas,tqxUr4oAAAAJ
Εμμανουήλ Γιακουμάκης,Emmanouil Giakoumakis,Επιστημών και Τεχνολογίας της Πληροφορίας,aueb,Καθηγητής,8268,Emm. Giakoumakis,X3EmbHYAAAAJ
Αθανάσιος Γιαννακόπουλος,Athanasios Giannakopoulos,Στατιστικής,aueb,Καθηγητής,17551,"Antonios Giannakopoulos, PhD",Goa2auQAAAAJ
Τραιανός Γιούλτσης,Traianos Gioultsis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,18133,Traianos Yioultsis,PvzNtsQAAAAJ
Δημήτριος Γκιζόπουλος,Dimitrios Gkizopoulos,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,18398,Dimitris Gizopoulos,8V03GF4AAAAJ
Δρόσος Γκιντίδης,Drosos Gkintidis,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ntua,Καθηγητής,17630,Drossos Gintides,iThPi7sAAAAJ
Δημήτριος Γκρίτζαλης,Dimitrios Gkritzalis,Πληροφορικής,aueb,Καθηγητής,8292,Dimitris A. Gritzalis,5hIalXgAAAAJ
Στέφανος Γκρίτζαλης,Stefanos Gkritzalis,Ψηφιακών Συστημάτων,unipi,Καθηγητής,18870,Stefanos Gritzalis,VCU5CYYAAAAJ
Γεώργιος-Όθων Γλεντής,Georgios-Othon Glentis,Πληροφορικής και Τηλεπικοινωνιών,uop,Καθηγητής,9433,George Glentis,xPq5hU0AAAAJ
Δημητριος  Γουνόπουλος,Dimitrios  Gounopoulos,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,6445,Dimitrios Gounopoulos,HdaAdOcAAAAJ&hl=th
Νικόλαος Γραμμαλίδης,Nikolaos Grammalidis,Ινστιτούτο Τεχνολογιών Πληροφορικής και Επικοινωνιών,certh,Κύριος Ερευνητής,19358,Nikos Grammalidis,PIKpPjoAAAAJ
Θεόδωρος Δαλαμάγκας,Theodoros Dalamagkas,Ινστιτούτο Πληροφοριακών Συστημάτων,athena-innovation,Διευθυντής Ερευνών,17708,Unknown,Unknown
Κώστας Δανιηλίδης,Kostas Daniilidis, Computer and Information Science ,University of Pennsylvania,Καθηγητής,4678,Kostas Daniilidis,dGs2BcIAAAAJ
Μιχαήλ Δεβετσικιώτης - Χατζηνικολάου,Michail Devetsikiotis - Chatzinikolaou,Electrical and Computer Engineering,North Carolina State University,Καθηγητής,11511,Michael Devetsikiotis,G5hjq5EAAAAJ
Αλέξιος Δελής,Alexios Delis,Πληροφροικής & Τηλεπικοινωνιών,uoa,Καθηγητής,19716,Alexandros Antoniadis,MxzplDsAAAAJ
Παναγιώτης Δεμέστιχας,Panagiotis Demestichas,Ψηφιακών Συστημάτων,unipi,Καθηγητής,6554,Panagiotis Demestichas,0TYLd78AAAAJ
Αργύριος Δέντσορας,Argyrios Dentsoras,Μηχανολόγων & Αεροναυπηγών Μηχανικών,upatras,Καθηγητής,10991,Argyris Dentsoras,V6BwW20AAAAJ
Ευάγγελος Δερματάς,Evangelos Dermatas,"Τμήματος Μηχανικών
Ηλεκτρονικών Υπολογιστών και Πληροφορικής",upatras,Αναπληρωτής Καθηγητής,4803,,
Βασίλειος Δημακόπουλος ,Vasileios Dimakopoulos ,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,uoi,Αναπληρωτής Καθηγητής,522,,
Ευθαλία Δημαρά,Efthalia Dimara,Οικονομικών Επιστημών,upatras,Καθηγητής,8393,,
Αγγελική Δημητρακοπούλου,Angeliki Dimitrakopoulou,Επιστημών Προσχολικής Αγωγής &  Εκπαιδευτικού Σχεδιασμού,aegean,Καθηγητής,4399,,
Ιωάννης Δημόπουλος,Ioannis Dimopoulos,Πληροφορικής,University of Cyprus,Καθηγητής,1879,,
Νικόλαος Διαμαντής,Nikolaos Diamantis,School of Mathematical Science,University of Nottingham,Αναπληρωτής Καθηγητής,2863,,
Βασίλειος Διγαλάκης,Vasileios Digalakis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,tuc,Καθηγητής,4463,,
Απόστολος Δόλλας,Apostolos Dollas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,tuc,Καθηγητής,19914,,
Ιωάννης Δολόγλου,Ioannis Dologlou,Ινστιτούτο Επεξεργασίας του Λόγου,athena-innovation,Διευθυντής Ερευνών,17763,,
Ζωή Δουλγέρη,Zoi Doulgeri,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,18259,,
Χρήστος Δουληγέρης,Christos Douligeris,Πληροφορικής,unipi,Καθηγητής,18820,,
Γεώργιος Έλληνας,Georgios Ellinas,Electrical and Computer Engineering,University of Cyprus,Αναπληρωτής Καθηγητής,5840,,
Ιωάννης Εμίρης,Ioannis Emiris,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,4425,,
Γεώργιος Ευαγγελίδης,Georgios Evangelidis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,6852,,
Παύλος Εφραιμίδης,Pavlos Efraimidis,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,duth,Αναπληρωτής Καθηγητής,18194,,
Ξενοφών  Ζαμπούλης,Xenofon  Zampoulis,Ινστιτούτο Πληροφορικής,forth,Κύριος Ερευνητής,17927,,
Ιωάννης Ζάννος ,Ioannis Zannos ,Τεχνών Ήχου και Εικόνας,ionio,Καθηγητής,11497,,
Νικόλαος Ζαράνης,Nikolaos Zaranis,Παιδαγωγικό Προσχολικής Εκπαίδευσης,uoc, Καθηγητής,18135,,
Χρήστος Ζαρολιάγκης,Christos Zaroliagkis,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,18315,,
Απόστολος Ζάρρας,Apostolos Zarras,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,uoi,Αναπληρωτής Καθηγητής,1150,,
Μιχαήλ Ζερβάκης,Michail Zervakis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,tuc,Καθηγητής,10147,,
Μιχάλης Ζέρβας,Michalis Zervas,Optoelectronics Research Centre,University of Southampton,Καθηγητής,1067,,
Βασίλειος Ζησιμόπουλος,Vasileios Zisimopoulos,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,9507,,
 Κυριάκος Ζωηρός, Kyriakos Zoiros,Ηλεκτρολόγων Μηχανικών & Μηχανικών Η/Υ,duth,Αναπληρωτής Καθηγητής,19606,,
Ιωάννης Θεοδωρίδης,Ioannis Theodoridis,Πληροφορικής,unipi,Καθηγητής,7814,,
Ιωάννης Θεοχάρης,Ioannis Theocharis,Ηλεκτρολόγων Μηχ και Μηχ Υπολογιστών,auth,Καθηγητής,7754,,
Θεοχάρης Θεοχάρης ,Theocharis Theocharis ,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,8989,,
Δημήτριος Θηλυκός,Dimitrios Thilykos,Μαθηματικών,uoa,Καθηγητής,7623,,
Κλεάνθης Θραμπουλίδης,Kleanthis Thrampoulidis,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,19589,,
Δημήτριος Ιακωβίδης,Dimitrios Iakovidis,Πληροφορικής με Έμφαση στη Βιοϊατρική,uth, Καθηγητής,4686,,
Δημήτριος Ιωαννίδης,Dimitrios Ioannidis,Οικονομικών Επιστημών,uom,Καθηγητής,19906,,
Ιωάννης Ιωαννίδης,Ioannis Ioannidis,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,19793,,
Θεοδώρα Ιωαννίδου,Theodora Ioannidou,Πολιτικών Μηχανικών,auth,Καθηγητής,4017,,
Εργίνα Καβαλλιεράτου,Ergina Kavallieratou,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,aegean,Αναπληρωτής Καθηγητής,9365,,
Χρυσοβαλάντης Καβουσιανός ,Chrysovalantis Kavousianos ,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Καθηγητής,1320,,
Δημήτριος Καλλές,Dimitrios Kalles,θετικών Επιστημων και Τεχνολογίας,eap,Καθηγητής,19008,,
Παναγιώτης Καλνής,Panagiotis Kalnis,Επιστήμης Υπολογιστών,King Abdullah University of Science & Technology,Καθηγητής,1946,,
Αχιλλέας Καμέας,Achilleas Kameas,θετικών Επιστημων και Τεχνολογίας,eap, Καθηγητής,1858,,
Γεωργιος     Καμπουρακης ,Georgios     Kampourakis ,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,aegean,Καθηγητής,18554,,
Αιμίλιος-Βασίλειος  Καμπουρόπουλος ,Aimilios-Vasileios  Kampouropoulos ,Μουσικών Σπουδών,auth, Καθηγητής,19655,,
Ιωάννης Καραγιάννης,Ioannis Karagiannis,Μηχ. Η/Υ & Πληροφορικής,upatras, Καθηγητής,18311,,
Χαράλαμπος Καραγιαννίδης ,Charalampos Karagiannidis ,Παιδαγωγικό Είδικής Αγωγής,uth,Καθηγητής,7729,,
Γεώργιος Καραγιαννίδης ,Georgios Karagiannidis ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,19446,,
Κωνσταντίνος Καραθανάσις,Konstantinos Karathanasis,School of Music,"University of Oklahoma, USA",Καθηγητής,1212,,
Γεωργία Κάραλη,Georgia Karali,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,uoc,Καθηγητής,11144,,
Γεώργιος Καραμπάτης,Georgios Karampatis, Information Systems,University of Maryland Baltimore County (UMBC),Αναπληρωτής Καθηγητής,6153,,
Νικόλαος Καραμπετάκης,Nikolaos Karampetakis,Μαθηματικών,auth,Καθηγητής,4693,,
Ιωάννης  Καραφυλλίδης ,Ioannis  Karafyllidis ,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών ,duth,Καθηγητής,18658,,
Νικόλαος Καραχάλιος,Nikolaos Karachalios,Μαθηματικών,aegean,Καθηγητής,19233,,
Γεώργιος Καρύπης,Georgios Karypis,Computer Science and Engineering,University of Minnesota,Καθηγητής,7274,,
Ελπίδα Κεραυνού - Παπαηλιού,Elpida Keravnou - Papailiou, Πληροφορικής,Cyprus University of Technology,Καθηγητής,4473,,
Αθανάσιος Κεχαγιάς,Athanasios Kechagias,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Αναπληρωτής Καθηγητής,17977,,
Κωνσταντίνος Κλουκίνας,Konstantinos Kloukinas, Μicroelectronics engineer,CERN the European Organization for Nuclear Research,Κύριος Ερευνητής,5310,,
Χριστόφορος Κοζυράκης,Christoforos Kozyrakis, Electrical Engineering and Computer Science,Stanford University,Καθηγητής,6966,,
Νεκτάριος Κοζύρης,Nektarios Kozyris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,19471,,
Χρυσή Κοκολογιαννάκη,Chrysi Kokologiannaki,Μαθηματικών,upatras,Καθηγητής,19951,,
Στέφανος Κόλλιας ,Stefanos Kollias ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,18205,,
Σταύρος Κολλιόπουλος,Stavros Kolliopoulos,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,18495,,
Βασίλειος Κόμης,Vasileios Komis,Επιστημών της Εκπαίδευσης & της Αγωγής στην Προσχολική Ηλικία,upatras,Καθηγητής,4952,,
Λυσίμαχος-Παύλος Κόντης,Lysimachos-Pavlos Kontis,Μηχανικών Η.Υ. & Πληροφορικής,uoi,Καθηγητής,171,,
Αριστείδης Κοντογεώργης,Aristeidis Kontogeorgis,Μαθηματικών,uoa,Καθηγητής,18766,,
Κωνσταντίνος Κοντογιάννης,Konstantinos Kontogiannis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Αναπληρωτής Καθηγητής,18652,,
Δημήτριος Κουγιουμτζής,Dimitrios Kougioumtzis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,18580,,
Χρήστος Κουκουβίνος,Christos Koukouvinos,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ntua,Καθηγητής,5932,,
Εμμανουήλ Κουμπαράκης,Emmanouil Koumparakis,Πληροφορικής και Τηλεπικοινωννιών,uoa,Καθηγητής,9714,,
Γεώργιος Κουρουπέτρογλου ,Georgios Kouroupetroglou ,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,18734,,
Κυριάκος Κουτουλάκος,Kyriakos Koutoulakos,Computer Science,University of Toronto,Καθηγητής,7124,,
Ευτύχιος Κουτρούλης,Eftychios Koutroulis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,tuc,Αναπληρωτής Καθηγητής,18992,,
Διον.-Δημήτριος Κουτσουρής,Dion.-Dimitrios Koutsouris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,155,,
Οδυσσέας Κουφοπαυλου ,Odysseas Koufopavlou ,Ηλεκτρολόγων Μηχ & Τεχνολογίας υπολογιστών,upass,Καθηγητής,17652,,
